SA2_CODE21,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,SA2_NAME21
101021007,51,1732,760,330,1886,0.8,1429,2.2,Braidwood
101021008,38,1950,975,350,2334,0.8,1989,2.6,Karabar
101021009,37,1700,996,330,2233,0.9,1703,2.1,Queanbeyan
101021010,36,1700,1104,310,2412,0.9,1796,2.1,Queanbeyan - East
101021012,37,2300,1357,430,3332,0.8,3014,2.9,Queanbeyan West - Jerrabomberra
101021610,31,2600,1629,531,3444,0.8,3363,3.1,Googong
101021611,42,2417,1243,465,3117,0.8,2926,2.9,Queanbeyan Surrounds
101031013,49,1083,704,200,1759,0.7,1253,2.2,Bombala
101031014,44,1300,771,290,1911,0.7,1377,2.2,Cooma
101031015,50,1627,794,290,2068,0.7,1596,2.4,Cooma Surrounds
101031016,38,1729,912,380,2275,0.8,1911,2.5,Jindabyne - Berridale
101041017,51,1519,596,330,1366,0.7,1120,2.2,Batemans Bay
101041018,54,1600,638,350,1453,0.7,1215,2.2,Batemans Bay - South
101041019,46,1517,704,320,1655,0.7,1276,2.3,Bega - Tathra
101041020,51,1300,603,265,1457,0.8,1220,2.4,Bega-Eden Hinterland
101041021,52,1733,738,360,1761,0.7,1378,2.3,Broulee - Tomakin
101041022,59,758,462,0,866,1.1,875,2.4,Deua - Wadbilliga
101041023,53,1517,573,270,1345,0.7,1013,2.2,Eden
101041024,53,1387,639,300,1502,0.8,1290,2.3,Eurobodalla Hinterland
101041025,54,1600,679,340,1614,0.7,1235,2.1,Merimbula - Tura Beach
101041026,56,1517,612,310,1451,0.7,1150,2.2,Moruya - Tuross Head
101041027,59,1500,579,290,1342,0.7,1017,2.1,Narooma - Bermagui
101051539,40,1636,749,320,1911,0.7,1418,2.3,Goulburn
101051540,48,1733,735,300,1922,0.7,1516,2.5,Goulburn Surrounds
101061541,42,1773,867,340,2185,0.8,1739,2.5,Yass
